modelo,params_filtrados,mean_test_precision,mean_test_accuracy,mean_test_recall,mean_test_f1,mean_test_roc_auc,rank_test_roc_auc
LogisticRegression,"{'clf__penalty': None, 'clf__solver': 'lbfgs', 'clf__max_iter': 20}",0.8291,0.8454,0.9124,0.8687,0.8862,4
LogisticRegression,"{'clf__penalty': None, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8495,0.8593,0.9102,0.8788,0.9311,2
LogisticRegression,"{'clf__penalty': None, 'clf__solver': 'lbfgs', 'clf__max_iter': 50}",0.8469,0.8553,0.9055,0.8752,0.9238,3
LogisticRegression,"{'clf__penalty': None, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8497,0.8595,0.9105,0.879,0.9316,1
LogisticRegression_Scaled,"{'clf__penalty': None, 'clf__solver': 'lbfgs', 'clf__max_iter': 20}",0.8484,0.8585,0.9102,0.8782,0.9312,4
LogisticRegression_Scaled,"{'clf__penalty': None, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8503,0.8599,0.9103,0.8793,0.9319,2
LogisticRegression_Scaled,"{'clf__penalty': None, 'clf__solver': 'lbfgs', 'clf__max_iter': 50}",0.8505,0.8599,0.9101,0.8793,0.9318,3
LogisticRegression_Scaled,"{'clf__penalty': None, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8504,0.8599,0.9103,0.8793,0.9319,1
LogisticRegressionWithPenalty,"{'clf__penalty': 'l1', 'clf__C': 0.1, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8504,0.8599,0.9103,0.8793,0.9319,2
LogisticRegressionWithPenalty,"{'clf__penalty': 'l2', 'clf__C': 0.1, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8503,0.8599,0.9104,0.8793,0.9319,8
LogisticRegressionWithPenalty,"{'clf__penalty': 'l1', 'clf__C': 0.1, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8504,0.8599,0.9103,0.8793,0.9319,1
LogisticRegressionWithPenalty,"{'clf__penalty': 'l2', 'clf__C': 0.1, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8503,0.8599,0.9104,0.8793,0.9319,7
LogisticRegressionWithPenalty,"{'clf__penalty': 'l1', 'clf__C': 10, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8503,0.8599,0.9103,0.8793,0.9319,5
LogisticRegressionWithPenalty,"{'clf__penalty': 'l2', 'clf__C': 10, 'clf__solver': 'saga', 'clf__max_iter': 20}",0.8503,0.8599,0.9103,0.8793,0.9319,6
LogisticRegressionWithPenalty,"{'clf__penalty': 'l1', 'clf__C': 10, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8503,0.8599,0.9103,0.8793,0.9319,3
LogisticRegressionWithPenalty,"{'clf__penalty': 'l2', 'clf__C': 10, 'clf__solver': 'saga', 'clf__max_iter': 50}",0.8504,0.8599,0.9103,0.8793,0.9319,4
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7848,0.8161,0.9258,0.8495,0.8546,32
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7851,0.817,0.9275,0.8504,0.8555,30
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7847,0.8171,0.9285,0.8506,0.8557,27
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt'}",0.7849,0.818,0.9302,0.8514,0.8565,25
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7847,0.8188,0.9327,0.8523,0.8569,24
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7849,0.8197,0.9344,0.8532,0.8576,19
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7846,0.8191,0.9336,0.8527,0.857,23
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt'}",0.7847,0.8197,0.9349,0.8532,0.8577,17
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7848,0.8162,0.9262,0.8496,0.8546,31
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.785,0.8172,0.9281,0.8506,0.8556,29
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7847,0.8174,0.9291,0.8508,0.8557,28
RandomForest,"{'clf__n_estimators': 30, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2'}",0.7849,0.8183,0.9308,0.8517,0.8565,26
RandomForest,"{'clf__n_estimators': 10, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2'}",0.7845,0.8192,0.9341,0.8528,0.8571,21
