columna,modelo,params,cv_mean_r2,cv_mean_neg_mse,cv_mean_neg_mae,test_r2,test_mse
ANO4,RandomForestRegressor,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 1, 'reg__min_samples_split': 2, 'reg__n_estimators': 30}",0.0073,-0.142,-0.2848,0.007,0.1418
TRIMESTRE,ElasticNet,"{'reg__alpha': 0.001, 'reg__l1_ratio': 0.2}",0.0018,-0.1428,-0.2855,0.0015,0.1425
AGLOMERADO,LinearRegression,{'reg__fit_intercept': True},0.055,-0.1351,-0.2761,0.058,0.1345
V01,LinearRegression,{'reg__fit_intercept': True},0.0115,-0.1414,-0.2837,0.0121,0.141
H05,Lasso,"{'reg__alpha': 0.001, 'reg__fit_intercept': True}",0.0287,-0.1389,-0.2813,0.0271,0.1389
H06,HistGradientBoostingRegressor,"{'reg__l2_regularization': 0.5, 'reg__learning_rate': 0.1, 'reg__max_iter': 200, 'reg__max_leaf_nodes': 30, 'reg__min_samples_leaf': 20}",0.0153,-0.1408,-0.2833,0.0161,0.1405
H07,Lasso,"{'reg__alpha': 0.001, 'reg__fit_intercept': True}",0.0213,-0.14,-0.2825,0.0197,0.1399
H08,RandomForestRegressor,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 1, 'reg__min_samples_split': 2, 'reg__n_estimators': 30}",0.0071,-0.142,-0.2849,0.0071,0.1417
H09,Ridge,"{'reg__alpha': 10, 'reg__fit_intercept': True}",0.0001,-0.143,-0.286,0.0002,0.1427
H10,RandomForestRegressor,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 1, 'reg__min_samples_split': 2, 'reg__n_estimators': 10}",0.0007,-0.1429,-0.2859,0.0007,0.1427
H11,RandomForestRegressor,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 1, 'reg__min_samples_split': 2, 'reg__n_estimators': 30}",0.0158,-0.1408,-0.2835,0.0169,0.1403
H12,RandomForestRegressor,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 1, 'reg__min_samples_split': 2, 'reg__n_estimators': 30}",0.0134,-0.1411,-0.2837,0.0139,0.1408
H16,XGBRegressor,"{'reg__learning_rate': 0.1, 'reg__max_depth': 3, 'reg__n_estimators': 50}",0.0057,-0.1422,-0.2851,0.0065,0.1418
