feature,LR,Ridge,Lasso
num__H16,0.0051,0.0051,0.0052
num__H15,0.003,0.003,0.0
num__IX_TOT,-0.0192,-0.0192,-0.0221
num__P03,0.0795,0.0795,0.0904
num__AGLO_rk,0.0404,0.0401,0.0312
num__Reg_rk,0.0035,0.0036,0.0052
num__sanitacion_nivel,0.0009,0.0009,0.0035
num__Personas_0-3,0.0111,0.0111,0.0064
num__Personas_13-17,0.0053,0.0053,0.0
num__Personas_18-24,-0.0104,-0.0104,-0.0108
num__Personas_25-64,-0.0248,-0.0247,-0.0198
num__Personas_4-8,0.0188,0.0188,0.0153
num__Personas_65+,-0.0135,-0.0135,-0.0134
num__Personas_9-12,0.018,0.018,0.0139
num__Max_Nivel_Educativo,0.0118,0.0118,0.0239
cat__ANO4_2023,-0.0078,-0.0078,-0.0
cat__ANO4_2024,-0.0437,-0.0437,-0.0363
cat__ANO4_2025,0.0619,0.0619,0.0244
cat__TRIMESTRE_2,-0.0172,-0.0172,-0.0106
cat__TRIMESTRE_3,0.0191,0.0191,0.0036
cat__TRIMESTRE_4,-0.0014,-0.0014,-0.0
cat__AGLOMERADO_2,-0.0285,-0.0282,-0.0
cat__AGLOMERADO_3,-0.0415,-0.041,-0.0
cat__AGLOMERADO_4,-0.0256,-0.0252,-0.0
cat__AGLOMERADO_5,-0.001,-0.0008,0.0
cat__AGLOMERADO_6,-0.0422,-0.0419,-0.0
cat__AGLOMERADO_7,0.0418,0.0414,0.0
cat__AGLOMERADO_8,0.0072,0.0064,-0.0
cat__AGLOMERADO_9,-0.0135,-0.0123,0.0
cat__AGLOMERADO_10,0.0324,0.0317,-0.0
cat__AGLOMERADO_12,0.0447,0.0442,0.0
cat__AGLOMERADO_13,0.0123,0.0125,0.0
cat__AGLOMERADO_14,0.0163,0.0162,0.0
cat__AGLOMERADO_15,0.0674,0.0667,0.0
cat__AGLOMERADO_17,-0.0612,-0.0601,0.0
cat__AGLOMERADO_18,0.046,0.0454,0.0
cat__AGLOMERADO_19,0.0441,0.0436,-0.0
cat__AGLOMERADO_20,-0.0505,-0.0493,0.0
cat__AGLOMERADO_22,0.0434,0.0429,0.0
cat__AGLOMERADO_23,0.0364,0.036,-0.0
cat__AGLOMERADO_25,0.0559,0.0548,-0.0
cat__AGLOMERADO_26,0.0345,0.0338,-0.0
cat__AGLOMERADO_27,0.064,0.0632,0.0
cat__AGLOMERADO_29,0.0387,0.0381,-0.0
cat__AGLOMERADO_30,-0.0143,-0.0137,0.0
cat__AGLOMERADO_31,-0.0213,-0.0201,0.0
cat__AGLOMERADO_32,-0.0122,-0.0116,0.0
cat__AGLOMERADO_33,-0.0337,-0.0334,-0.0072
cat__AGLOMERADO_34,-0.0182,-0.018,-0.0
cat__AGLOMERADO_36,-0.0051,-0.0049,0.0
cat__AGLOMERADO_38,-0.0242,-0.0238,-0.0
cat__AGLOMERADO_91,-0.0901,-0.089,-0.0
cat__AGLOMERADO_93,-0.063,-0.0621,0.0
cat__V01_2.0,0.0147,0.0147,0.0116
cat__V01_3.0,-0.0231,-0.0231,-0.0
cat__V01_4.0,-0.0386,-0.0383,-0.0
cat__V01_5.0,-0.1274,-0.123,-0.0
cat__V01_6.0,0.0143,0.0143,0.0
cat__V01_9.0,-0.0497,-0.0411,0.0
cat__H05_2.0,-0.0166,-0.0166,-0.0088
cat__H05_3.0,-0.0193,-0.0193,-0.0
cat__H05_4.0,-0.0173,-0.0172,0.0
cat__H05_9.0,-0.0497,-0.0411,0.0
cat__H06_2.0,-0.0067,-0.0067,-0.0
cat__H06_3.0,0.0125,0.0125,0.0
cat__H06_4.0,-0.0107,-0.0107,-0.0
cat__H06_5.0,-0.0123,-0.0123,-0.0
cat__H06_6.0,0.0268,0.0264,0.0
cat__H06_7.0,0.0253,0.0252,0.0
cat__H06_9.0,0.0326,0.0326,0.0
cat__H07_2.0,-0.0122,-0.0122,-0.0108
cat__H08_2.0,-0.0107,-0.0107,-0.0
cat__H08_3.0,-0.013,-0.0129,-0.0
cat__H09_2.0,0.0183,0.0183,-0.0
cat__H09_3.0,-0.0158,-0.0156,-0.0
cat__H09_4.0,-0.0595,-0.0591,-0.0
cat__PROP_2.0,-0.0003,-0.0003,-0.0
cat__PROP_3.0,0.0403,0.0403,0.0339
cat__PROP_4.0,-0.0138,-0.0138,-0.0
cat__PROP_5.0,-0.0109,-0.0108,-0.0
cat__PROP_6.0,-0.0139,-0.0138,-0.0
cat__PROP_9.0,0.0226,0.0224,0.0
cat__H14_2.0,-0.0245,-0.0246,-0.0278
cat__H14_3.0,-0.0055,-0.0055,-0.0
cat__H14_4.0,0.03,0.0299,0.0
cat__H14_9.0,0.0226,0.0224,0.0
cat__H13_2.0,0.0013,0.0013,-0.0
cat__H13_4.0,0.0037,0.0037,-0.0
cat__H13_9.0,0.0226,0.0224,0.0
cat__CAT_INAC_1,0.4032,0.2694,0.1148
cat__CAT_INAC_2,0.3344,0.2001,0.0
cat__CAT_INAC_3,-0.1004,-0.2339,-0.276
cat__CAT_INAC_4,0.2365,0.1027,-0.0
cat__CAT_INAC_5,0.1918,0.0587,-0.0
cat__CAT_INAC_6,0.2644,0.1304,-0.0
cat__CAT_INAC_7,0.2253,0.0914,-0.0
cat__CAT_OCUP_1,0.0958,0.0948,0.1085
cat__CAT_OCUP_2,-0.1413,-0.1423,-0.0
cat__CAT_OCUP_3,0.1127,0.1118,0.2357
cat__CAT_OCUP_4,-0.3574,-0.3562,-0.0
cat__P02_2,-0.0942,-0.0942,-0.0824
cat__CH07_2,0.0042,0.0042,0.0
cat__CH07_3,0.0056,0.0056,-0.0
cat__CH07_4,0.0548,0.0548,0.0008
cat__CH07_5,-0.0508,-0.0508,-0.054
cat__P09_2,-0.0602,-0.0891,-0.0878
cat__P09_3,0.0377,0.0089,-0.0
cat__P09_4,-0.0025,-0.0315,-0.0415
cat__P09_5,0.0084,-0.0206,-0.0
cat__P09_6,0.0659,0.037,0.0
cat__P09_7,0.1435,0.1145,0.0711
cat__P09_8,0.2968,0.2675,0.0
cat__P09_9,0.0756,0.0726,-0.0
cat__P09_Z_NO_APLICA,-0.022,-0.0249,-0.0
cat__P10_2,-0.0665,-0.0665,-0.0609
cat__P10_9,-0.0796,-0.1055,-0.0
cat__P05_2.0,-0.0312,-0.0312,-0.0
cat__CONDACT_2,-0.4701,-0.47,-0.2908
cat__CONDACT_3,-0.5591,-0.4262,-0.1636
cat__CONDACT_9,-0.4413,-0.3118,-0.0
cat__PP07G_59_5.0,-0.2596,-0.2596,-0.2313
cat__Region_Gran Buenos Aires,0.0376,0.0369,-0.0
cat__Region_Noreste,0.0294,0.0291,0.0
cat__Region_Noroeste,0.012,0.0117,-0.0
cat__Region_Pampeana,0.0555,0.0547,0.0
cat__Region_Patagónica,0.1363,0.1349,0.0291
