A,B,pmax_B|A,pmax_A|B
H09,H10,0.9985211668863168,0.9688792619752861
H08,H10,0.9984994193405274,0.9817190130093819
H05,H10,0.9984994193405274,0.8877652656897669
H07,H10,0.9984994193405274,0.8568924496870528
V01,H10,0.9984994193405274,0.8157417435442411
H06,H10,0.9984994193405274,0.34120594490911704
AGLOMERADO,H10,0.9984994193405274,0.09207040985424796
H06,P08,0.9930973289664263,0.341205944909117
H10,P08,0.9930973289664262,0.9984994193405273
P07,P08,0.9930973289664262,0.9925623393400055
H13,P08,0.9930973289664262,0.9740682264006506
H09,P08,0.9930973289664262,0.9688792619752861
H11,P08,0.9930973289664262,0.9538952029263497
CAT_INAC,P08,0.9930973289664262,0.6712466998099265
H14,P08,0.9930973289664262,0.6031899300163975
P02,P08,0.9930973289664262,0.525664278786139
AGLOMERADO,P08,0.9930973289664262,0.09197472065277434
H08,P08,0.9930973289664261,0.9816537703720135
H07,P08,0.9930973289664261,0.8563487610423164
V01,P08,0.9930973289664261,0.815741743544241
H12,P08,0.9930973289664261,0.7889618156591028
PROP,P08,0.9930973289664261,0.7291604142472522
CAT_OCUP,P08,0.9930973289664261,0.510902044704255
H05,P08,0.993097328966426,0.8871519848985041
CH07,P08,0.993097328966426,0.3095980618587193
CAT_INAC,P07,0.9886042860063242,0.6724993584473992
PP07G1,PP07G3,0.9885259948414821,0.9885259948414821
P02,P07,0.9882693738011668,0.5256599292769811
H13,P07,0.9882693738011666,0.9740682264006506
CAT_OCUP,P07,0.9882693738011666,0.5143164093932
H10,P07,0.9882693738011665,0.9984994193405273
H08,P07,0.9882693738011665,0.9816537703720135
H05,P07,0.9882693738011665,0.8871519848985042
H07,P07,0.9882693738011665,0.8563487610423164
V01,P07,0.9882693738011665,0.815741743544241
H12,P07,0.9882693738011665,0.7889618156591028
PROP,P07,0.9882693738011665,0.7291604142472522
H06,P07,0.9882693738011665,0.341205944909117
CH07,P07,0.9882693738011665,0.30958066382208765
H09,P07,0.9882693738011664,0.9688792619752861
H11,P07,0.9882693738011664,0.9538952029263498
H14,P07,0.9882693738011664,0.6043121033791337
AGLOMERADO,P07,0.9882693738011664,0.09223569120224782
PP07G1,PP07G2,0.9867774921600098,0.9867774921600098
PP07G4,PP07H,0.986564366211273,0.9865643662112731
PP07G1,PP07G_59,0.9849811448778005,0.6572630278673052
PP07G2,PP07G3,0.984515747397906,0.984515747397906
PP07G4,PP07G_59,0.9841895342110643,0.6572630278673052
PP07G2,PP07G_59,0.9837719813319067,0.6572630278673052
PP07G3,PP07G_59,0.9828063902988547,0.6572630278673052
PP07G3,PP07G4,0.9827411476614863,0.9827411476614863
PP07G2,PP07H,0.9825106236761182,0.9825106236761182
CAT_INAC,CONDACT,0.9817625081009609,0.8834940476967175
H05,H08,0.9816537703720135,0.8947114318149197
H07,H08,0.9816537703720135,0.862333685643575
H06,H08,0.9816537703720135,0.341205944909117
AGLOMERADO,H08,0.9816537703720135,0.09204866230845848
V01,H08,0.9816537703720134,0.8157417435442409
CAT_OCUP,CONDACT,0.9813406057126454,0.8372718138758042
PP07G3,PP07H,0.9811187807455928,0.9811187807455928
H10,H13,0.975499214913597,0.9984994193405275
H08,H13,0.9740682264006506,0.9816537703720136
H08,H09,0.9688792619752861,0.9816755179178029
H08,H11,0.9617156203922388,0.9816537703720135
H10,P05,0.9612763199672918,0.9984994193405274
P08,P05,0.9612763199672918,0.9930973289664261
P07,P05,0.9612763199672917,0.9882693738011665
H08,P05,0.9612763199672917,0.9816537703720134
PP07H,PP07K,0.9572399754687685,0.98741687000622
H10,H11,0.9553957835858223,0.9984994193405274
H10,PP07G_59,0.8476279951807439,0.9984994193405273
P08,PP07G_59,0.8476279951807438,0.9930973289664261
H08,PP07G_59,0.8476279951807438,0.9816537703720134
P07,PP07G_59,0.8476279951807437,0.9882693738011665
H10,PP07I,0.820678436438448,0.9984994193405275
H08,PP07I,0.820678436438448,0.9816537703720134
P08,PP07I,0.8206784364384478,0.9930973289664261
P07,PP07I,0.8206784364384478,0.9882693738011664
H10,H12,0.7904623963185754,0.9984994193405274
H08,H12,0.7904536973002597,0.9816537703720135
H10,PROP,0.7291604142472522,0.9984994193405273
H08,PROP,0.7291604142472522,0.9816537703720135
H10,CAT_INAC,0.6687631300807704,0.9984994193405274
H08,CAT_INAC,0.6687631300807704,0.9816537703720135
PP07I,PP07K,0.6594638795011983,0.9828107398080128
P07,CONDACT,0.6594638795011982,0.9882693738011665
P08,CONDACT,0.6568759215522528,0.993097328966426
H10,CONDACT,0.6528308780354137,0.9984994193405274
H08,CONDACT,0.6528308780354136,0.9816537703720135
P07,P10,0.6377250327300564,0.9914836610688484
P08,P10,0.6360983163050049,0.9930973289664261
H10,P10,0.6293522276011151,0.9984994193405274
H08,P10,0.6292565383996416,0.9816537703720136
H08,H14,0.6168560877904928,0.9816537703720135
H10,H14,0.60357703633145,0.9984994193405274
H08,P02,0.5256947253502442,0.9816537703720136
H10,P02,0.5256599292769811,0.9984994193405274
H10,CAT_OCUP,0.5060871380664692,0.9984994193405275
H08,CAT_OCUP,0.5060871380664692,0.9816537703720135
H10,PP07G2,0.504891023048049,0.9984994193405275
H10,PP07G1,0.504891023048049,0.9984994193405274
H10,PP07G3,0.504891023048049,0.9984994193405274
H10,PP07G4,0.504891023048049,0.9984994193405274
H10,PP07J,0.504891023048049,0.9984994193405274
P08,PP07G3,0.504891023048049,0.9930973289664261
P08,PP07G4,0.504891023048049,0.9930973289664261
P08,PP07J,0.504891023048049,0.9930973289664261
P08,PP07G1,0.504891023048049,0.993097328966426
P08,PP07G2,0.504891023048049,0.993097328966426
P07,PP07G1,0.504891023048049,0.9882693738011665
P07,PP07G2,0.504891023048049,0.9882693738011665
P07,PP07G3,0.504891023048049,0.9882693738011665
P07,PP07G4,0.504891023048049,0.9882693738011665
P07,PP07J,0.504891023048049,0.9882693738011664
H08,PP07G3,0.504891023048049,0.9816537703720135
H08,PP07G4,0.504891023048049,0.9816537703720135
H08,PP07G1,0.504891023048049,0.9816537703720134
H08,PP07G2,0.504891023048049,0.9816537703720134
H08,PP07J,0.504891023048049,0.9816537703720134
P08,PP07K,0.5048866735388912,0.9930973289664262
H10,PP07K,0.504886673538891,0.9984994193405277
P07,PP07K,0.504886673538891,0.9882693738011666
H08,PP07K,0.504886673538891,0.9816537703720135
H10,PP07H,0.5033599958244712,0.9984994193405273
P08,PP07H,0.5033599958244712,0.9930973289664261
P07,PP07H,0.5033599958244712,0.9882693738011665
H08,PP07H,0.5033599958244712,0.9816537703720134
