feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
ESTRUCTURA_LABORAL,3,0.5118966600973331,0.5466303335867203,0.003235401231970013,0.19776913543762892,0.09881119283059224,0.0005769732818818986,Linear_best
CALIDAD_LABORAL,1,0.5118966600973331,0.12857041293903787,0.0014803176719789925,0.19776913543762892,0.02630549634699324,0.00028362485598296713,Linear_best
P03,1,0.5118966600973331,0.08860339671675839,0.0009027327112556093,0.19776913543762892,0.019451907179952998,0.0002541097823441928,Linear_best
EDUCACION,2,0.5118966600973331,0.08075394176200018,0.0010239692574085901,0.19776913543762892,0.01784968665593514,0.00028568600905524137,Linear_best
P02,1,0.5118966600973331,0.03005265470619082,0.0005562789898480908,0.19776913543762892,0.00696190254266977,0.0001707961628497114,Linear_best
AGLO_rk,1,0.5118966600973331,0.023014040994381826,0.0006432838824319264,0.19776913543762892,0.005728277529671835,0.00016553309586905905,Linear_best
Region,1,0.5118966600973331,0.022613090848045928,0.000557211994571273,0.19776913543762892,0.00553531703459766,0.00014176388878803134,Linear_best
AGLOMERADO,1,0.5118966600973331,0.020690835368635543,0.0005370276441239941,0.19776913543762892,0.0052487736195987456,0.0001543012032241691,Linear_best
CH07,1,0.5118966600973331,0.01305377338407489,0.0004179765487188197,0.19776913543762892,0.002724510826270136,0.00010820031473249167,Linear_best
ANO4,1,0.5118966600973331,0.010971934328650826,0.0004108860120943799,0.19776913543762892,0.0025346173901218453,0.00010821409593203036,Linear_best
Personas_25-64,1,0.5118966600973331,0.008983827523398066,0.000282203504414314,0.19776913543762892,0.0017173880126229067,7.696785899611474e-05,Linear_best
VIVIENDA_HOGAR,8,0.5118966600973331,0.007670632612602705,0.0003285381187574932,0.19776913543762892,0.0013988005302474904,8.530578840045837e-05,Linear_best
IX_TOT,1,0.5118966600973331,0.0052012008269170995,0.00020374599261005513,0.19776913543762892,0.0008718743684204694,6.548127956343073e-05,Linear_best
Personas_4-8,1,0.5118966600973331,0.004591542233750616,0.0002659264501714654,0.19776913543762892,0.001148694389353741,6.88871195039914e-05,Linear_best
Personas_9-12,1,0.5118966600973331,0.004493077663947579,0.0002786401196262491,0.19776913543762892,0.0011739853400419276,6.311333120717885e-05,Linear_best
PROP,1,0.5118966600973331,0.0037515546859167065,0.00025031949157165305,0.19776913543762892,0.0007639113679999921,6.542687775301369e-05,Linear_best
