modelo,parámetros,r2,mse,mae
LinearRegression,{'reg__fit_intercept': True},0.4810138823871692,-0.07394115441083923,-0.20326774655854868
LinearRegression,{'reg__fit_intercept': False},0.4810138823871709,-0.07394115441083902,-0.20326774655854773
Ridge,"{'reg__alpha': 0.5, 'reg__fit_intercept': True}",0.4810139307430282,-0.07394114792304363,-0.20326763645583493
Ridge,"{'reg__alpha': 0.5, 'reg__fit_intercept': False}",0.4810138743848945,-0.07394115294536373,-0.203270848500208
Ridge,"{'reg__alpha': 1, 'reg__fit_intercept': True}",0.4810139776697751,-0.07394114163861265,-0.20326752701593387
Ridge,"{'reg__alpha': 1, 'reg__fit_intercept': False}",0.4810137722289312,-0.07394116489093876,-0.20327397729609525
Ridge,"{'reg__alpha': 5, 'reg__fit_intercept': True}",0.48101430186495564,-0.07394109865166357,-0.20326666972693896
Ridge,"{'reg__alpha': 5, 'reg__fit_intercept': False}",0.481009570007506,-0.07394174260417168,-0.20329966658104212
Lasso,"{'reg__alpha': 0.005, 'reg__fit_intercept': True}",0.45845217574706065,-0.07715729800066336,-0.20678828574777133
Lasso,"{'reg__alpha': 0.005, 'reg__fit_intercept': False}",0.4526060941734701,-0.07798855272858356,-0.20980254501640175
Lasso,"{'reg__alpha': 0.01, 'reg__fit_intercept': True}",0.44346569463072083,-0.0792926013246932,-0.20931128850798414
Lasso,"{'reg__alpha': 0.01, 'reg__fit_intercept': False}",0.4153873401266252,-0.08328942305842983,-0.21938417924399492
Lasso,"{'reg__alpha': 0.05, 'reg__fit_intercept': True}",0.2877514202112893,-0.10147626261717221,-0.2363148405027471
Lasso,"{'reg__alpha': 0.05, 'reg__fit_intercept': False}",-0.4115353172534423,-0.20106601826498993,-0.37754254994664016
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 5}",0.5581168995995572,-0.06295170660748702,-0.18459512476690407
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 10}",0.5582354200967744,-0.06293950934039147,-0.18472124938272458
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 15}",0.5599630127651067,-0.06269376141770425,-0.18451729549541301
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 5}",0.5514918143876644,-0.06389716409444218,-0.18604087184279408
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 10}",0.5525462821980467,-0.0637459133875744,-0.1857160852342561
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 15}",0.5544184991524611,-0.06348023005969168,-0.1856371548774671
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.1, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 5}",0.5775361506039443,-0.06018862221469512,-0.18025377249174251
