modelo,parámetros,r2,mse,mae
LinearRegression,{'reg__fit_intercept': True},0.5044875748627936,-0.07059464731190597,-0.19897702359688504
LinearRegression,{'reg__fit_intercept': False},0.5044875748627939,-0.0705946473119059,-0.1989770235968849
Ridge,"{'reg__alpha': 0.5, 'reg__fit_intercept': True}",0.5044876267673886,-0.07059464039202179,-0.19897693243001213
Ridge,"{'reg__alpha': 0.5, 'reg__fit_intercept': False}",0.504487575162876,-0.070594644644255,-0.19897883576298042
Ridge,"{'reg__alpha': 1, 'reg__fit_intercept': True}",0.5044876771989977,-0.07059463368173442,-0.19897684131682855
Ridge,"{'reg__alpha': 1, 'reg__fit_intercept': False}",0.5044874811606184,-0.07059465540833543,-0.19898066131261383
Ridge,"{'reg__alpha': 5, 'reg__fit_intercept': True}",0.5044880278634157,-0.07059458751091201,-0.19897611902656825
Ridge,"{'reg__alpha': 5, 'reg__fit_intercept': False}",0.5044833389014697,-0.07059522440236841,-0.19899605406878915
Lasso,"{'reg__alpha': 0.005, 'reg__fit_intercept': True}",0.4820045808479213,-0.07380056109087432,-0.20251537323873525
Lasso,"{'reg__alpha': 0.005, 'reg__fit_intercept': False}",0.4761582814406478,-0.07463162119430287,-0.20512990028431105
Lasso,"{'reg__alpha': 0.01, 'reg__fit_intercept': True}",0.46019554722694894,-0.07690852447089945,-0.20631333510414945
Lasso,"{'reg__alpha': 0.01, 'reg__fit_intercept': False}",0.4322075644766478,-0.08089218967572989,-0.2158763571152859
Lasso,"{'reg__alpha': 0.05, 'reg__fit_intercept': True}",0.2877514202112893,-0.10147626261717221,-0.2363148405027471
Lasso,"{'reg__alpha': 0.05, 'reg__fit_intercept': False}",-0.4115353172534423,-0.20106601826498993,-0.37754254994664016
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 5}",0.584092121706395,-0.05924964451956412,-0.17912264498236202
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 10}",0.5843687519119672,-0.05921212412747858,-0.17905284097998636
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 150, 'reg__min_samples_leaf': 15}",0.5841961112849706,-0.05923474085227241,-0.1792443585200779
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 5}",0.5781052543822026,-0.06010510530011861,-0.18000825328878492
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 10}",0.5790891474353282,-0.05996501864077643,-0.17988107565963346
HistGradientBoostingRegressor,"{'reg__l2_regularization': 0, 'reg__learning_rate': 0.5, 'reg__max_iter': 50, 'reg__max_leaf_nodes': 250, 'reg__min_samples_leaf': 15}",0.5817627564421276,-0.05958375293764594,-0.17946801768668924
