Variable 1,Variable 2,Correlation
AGLO_rk,Reg_rk,0.8375443363617061
H15,IX_TOT,0.6575579109987926
H16,H15,0.5888310824046902
IX_TOT,Personas_25-64,0.5441945510474885
P03,Personas_65+,0.5354569056127522
IX_TOT,Personas_13-17,0.468096823168074
IX_TOT,Personas_4-8,0.445978974819025
IX_TOT,Personas_9-12,0.44228921414224887
IX_TOT,Personas_18-24,0.4183266390032954
H15,Personas_25-64,0.39544448919436553
IX_TOT,Personas_0-3,0.3541038441505097
Personas_4-8,Personas_9-12,0.3506712662840681
Personas_0-3,Personas_4-8,0.342344411016118
H15,Personas_18-24,0.33625878508432094
Personas_13-17,Personas_9-12,0.3273380153393259
P03,Personas_18-24,0.31713996118051324
H15,Personas_13-17,0.3029452671952101
IX_TOT,P03,0.2948779239799508
Personas_25-64,Personas_4-8,0.29107315829590513
H16,IX_TOT,0.2860557227279961
Personas_25-64,Personas_65+,0.27775479676388387
P03,Personas_25-64,0.27710390870131013
Personas_25-64,Personas_9-12,0.2677855588398832
Personas_13-17,Personas_18-24,0.25596649769233865
Personas_13-17,Personas_25-64,0.2542052195751065
P03,Personas_4-8,0.24618120965841933
P03,Personas_0-3,0.2421058358986677
Personas_18-24,Personas_25-64,0.23812999030041404
Personas_0-3,Personas_25-64,0.23167886605003493
Personas_18-24,Personas_65+,0.21192900510845486
H15,Personas_9-12,0.21159469904937375
AGLO_rk,Personas_25-64,0.19607208540301996
Reg_rk,Personas_25-64,0.19587573494172486
H16,Max_Nivel_Educativo,0.1886994850198172
P03,Personas_9-12,0.1826722569558219
Personas_25-64,Max_Nivel_Educativo,0.1812021009789869
H15,Max_Nivel_Educativo,0.1809109757327947
Personas_13-17,Personas_65+,0.17510781917936455
IX_TOT,AGLO_rk,0.17397943384860592
P03,Personas_13-17,0.1701371761193906
Personas_0-3,Personas_9-12,0.16643901698786515
Personas_4-8,Personas_65+,0.16364479819676245
Personas_13-17,Personas_4-8,0.16036794061643014
Personas_65+,Personas_9-12,0.1579573816306527
IX_TOT,Reg_rk,0.15760865542619865
H15,Personas_4-8,0.1570193850843927
H15,AGLO_rk,0.15044728664094134
Personas_18-24,Max_Nivel_Educativo,0.1477197077685596
IX_TOT,Personas_65+,0.1441002829536757
H15,Reg_rk,0.13924360234075517
Personas_0-3,Personas_65+,0.1364090749605857
H16,Personas_25-64,0.13571388860422173
H16,Personas_65+,0.13393774033683345
Personas_0-3,Personas_18-24,0.12577925395558281
H15,P03,0.1146111585246218
AGLO_rk,Personas_18-24,0.11411838276724849
P03,Max_Nivel_Educativo,0.11276886976832733
Reg_rk,Personas_18-24,0.11009699253898828
Personas_65+,Max_Nivel_Educativo,0.10993816691065812
H16,P03,0.10389686653910919
H16,Personas_18-24,0.1032584942157192
IX_TOT,Max_Nivel_Educativo,0.09980034142823438
sanitacion_nivel,Max_Nivel_Educativo,0.09747089594522872
AGLO_rk,Personas_4-8,0.09019656244941478
Reg_rk,Personas_4-8,0.08918297551307511
Reg_rk,Personas_0-3,0.08897557718360313
AGLO_rk,Personas_0-3,0.08845028328232778
H16,Personas_13-17,0.08739477778204786
H15,Personas_0-3,0.08466064334186926
H16,sanitacion_nivel,0.08453792951172469
Personas_0-3,Personas_13-17,0.08170317355657712
AGLO_rk,Personas_13-17,0.07001807158161259
AGLO_rk,Personas_9-12,0.0696651796141308
H16,Reg_rk,0.06899156313340925
Reg_rk,Personas_9-12,0.06847047873757264
Reg_rk,Personas_13-17,0.06732773394050505
Personas_18-24,Personas_4-8,0.0671880560723327
Personas_18-24,Personas_9-12,0.06596859802087854
sanitacion_nivel,Personas_0-3,0.06365198131406472
P03,AGLO_rk,0.05756593853797129
P03,Reg_rk,0.05633412325611938
sanitacion_nivel,Personas_4-8,0.056029605625666626
IX_TOT,sanitacion_nivel,0.05458303814202391
P03,sanitacion_nivel,0.05375670066926667
sanitacion_nivel,Personas_65+,0.05102835445921909
sanitacion_nivel,Personas_9-12,0.048046456448181035
sanitacion_nivel,Personas_13-17,0.045629510491569374
Reg_rk,Personas_65+,0.04506253759508392
Personas_0-3,Max_Nivel_Educativo,0.04436797395194743
H16,AGLO_rk,0.04357236264741606
AGLO_rk,Personas_65+,0.04200582425667728
Reg_rk,Max_Nivel_Educativo,0.039153533374206344
Personas_4-8,Max_Nivel_Educativo,0.03838671574186221
H15,sanitacion_nivel,0.03459127036038668
sanitacion_nivel,Personas_18-24,0.03333113564044046
H16,Personas_9-12,0.029262763687017343
H16,Personas_0-3,0.027319857617929506
Personas_9-12,Max_Nivel_Educativo,0.023173882686029965
sanitacion_nivel,Personas_25-64,0.023042713725866925
Personas_13-17,Max_Nivel_Educativo,0.01671607476560544
AGLO_rk,Max_Nivel_Educativo,0.01250860890104296
H15,Personas_65+,0.012344925919225244
H16,Personas_4-8,0.01023165826567386
Reg_rk,sanitacion_nivel,0.009667993807223274
AGLO_rk,sanitacion_nivel,0.00892470149081775
