model,dimension,group,n,mse,rmse,mae,error,var_real,var_pred,error_var,r2
Linear_best,Género,varon,31148,0.0675,0.2598,0.194,0.0018,0.1405,0.0679,0.0675,0.5196
Linear_best,Género,mujer,34541,0.0689,0.2624,0.196,0.0003,0.1396,0.0738,0.0689,0.5067
HGB_best,Género,varon,31148,0.0553,0.2351,0.172,0.002,0.1405,0.085,0.0553,0.6065
HGB_best,Género,mujer,34541,0.0536,0.2316,0.169,0.0008,0.1396,0.0856,0.0536,0.6157
Ridge_best,Género,varon,31148,0.0675,0.2598,0.194,0.0018,0.1405,0.0679,0.0675,0.5196
Ridge_best,Género,mujer,34541,0.0689,0.2624,0.196,0.0003,0.1396,0.0738,0.0689,0.5067
Lasso_best,Género,varon,31148,0.0702,0.2649,0.1974,-0.0033,0.1405,0.0569,0.0702,0.5005
Lasso_best,Género,mujer,34541,0.0719,0.2682,0.1996,0.0051,0.1396,0.0624,0.0719,0.4847
MLP_best,Género,varon,31148,0.0617,0.2485,0.1846,0.0526,0.1405,0.0907,0.059,0.5606
MLP_best,Género,mujer,34541,0.0608,0.2466,0.1816,0.0498,0.1396,0.0902,0.0583,0.5643
Linear_best,Edad,-18,907,0.1418,0.3766,0.3034,0.1462,0.1763,0.0622,0.1206,0.1945
Linear_best,Edad,18-25,6282,0.1005,0.3171,0.2413,0.0374,0.1853,0.0839,0.0992,0.4573
Linear_best,Edad,26-40,19914,0.0683,0.2613,0.1963,-0.0199,0.1319,0.0727,0.0679,0.4822
Linear_best,Edad,41-55,16729,0.0722,0.2688,0.1994,0.0058,0.1374,0.0585,0.0722,0.4743
Linear_best,Edad,55+,21847,0.0527,0.2296,0.1728,-0.0002,0.0815,0.0371,0.0527,0.3526
HGB_best,Edad,-18,907,0.086,0.2932,0.2126,0.0026,0.1763,0.0915,0.0861,0.5118
HGB_best,Edad,18-25,6282,0.0705,0.2654,0.1957,0.0052,0.1853,0.1153,0.0704,0.6197
HGB_best,Edad,26-40,19914,0.0563,0.2374,0.1741,0.0014,0.1319,0.0768,0.0563,0.5727
HGB_best,Edad,41-55,16729,0.0603,0.2455,0.1802,0.0015,0.1374,0.0762,0.0603,0.5613
HGB_best,Edad,55+,21847,0.0423,0.2056,0.1505,-0.0001,0.0815,0.0387,0.0423,0.4808
Ridge_best,Edad,-18,907,0.1418,0.3766,0.3033,0.1459,0.1763,0.0621,0.1207,0.1946
Ridge_best,Edad,18-25,6282,0.1005,0.3171,0.2413,0.0374,0.1853,0.0838,0.0992,0.4572
Ridge_best,Edad,26-40,19914,0.0683,0.2613,0.1962,-0.0199,0.1319,0.0727,0.0679,0.4822
Ridge_best,Edad,41-55,16729,0.0722,0.2688,0.1994,0.0058,0.1374,0.0585,0.0722,0.4743
Ridge_best,Edad,55+,21847,0.0527,0.2296,0.1728,-0.0002,0.0815,0.037,0.0527,0.3526
Lasso_best,Edad,-18,907,0.1659,0.4073,0.3359,0.1879,0.1763,0.0425,0.1307,0.0581
Lasso_best,Edad,18-25,6282,0.1055,0.3248,0.2475,0.0524,0.1853,0.0669,0.1028,0.4306
Lasso_best,Edad,26-40,19914,0.0698,0.2641,0.1981,-0.0248,0.1319,0.0607,0.0692,0.4708
Lasso_best,Edad,41-55,16729,0.0758,0.2754,0.2039,0.0056,0.1374,0.0486,0.0758,0.448
Lasso_best,Edad,55+,21847,0.0549,0.2342,0.1752,-0.0014,0.0815,0.0306,0.0549,0.3266
MLP_best,Edad,-18,907,0.0963,0.3104,0.2295,0.0211,0.1763,0.0984,0.096,0.453
MLP_best,Edad,18-25,6282,0.0772,0.2779,0.2054,0.0341,0.1853,0.1224,0.0761,0.5832
MLP_best,Edad,26-40,19914,0.0625,0.2499,0.1842,0.0475,0.1319,0.0811,0.0602,0.5262
MLP_best,Edad,41-55,16729,0.0678,0.2604,0.192,0.0557,0.1374,0.0745,0.0647,0.5064
